scenario,trial,threshold,share_count,available_count,corrupted_count,expected_result,recovery_succeeded,key_matches,decryption_succeeded,failure_reason,share_generation_ms,recovery_ms,corrected_error_count,storage_overhead_ratio
Larger minimum recovery,3,4,7,4,0,Success,True,True,True,,0.03659998765215278,0.1664000010350719,0,21.0
Larger minimum recovery,4,4,7,4,0,Success,True,True,True,,0.030099996365606785,0.14039999223314226,0,21.0
Larger minimum recovery,5,4,7,4,0,Success,True,True,True,,0.031100003980100155,0.16070000128820539,0,21.0
Larger minimum recovery,6,4,7,4,0,Success,True,True,True,,0.034199998481199145,0.16150000737980008,0,21.0
Larger minimum recovery,7,4,7,4,0,Success,True,True,True,,0.034199998481199145,0.1362000039080158,0,21.0
Larger minimum recovery,8,4,7,4,0,Success,True,True,True,,0.020799998310394585,0.1441000058548525,0,21.0
Larger minimum recovery,9,4,7,4,0,Success,True,True,True,,0.02749999111983925,0.15730000450275838,0,21.0
Larger minimum recovery,10,4,7,4,0,Success,True,True,True,,0.02920000406447798,0.14050000754650682,0,21.0
Larger minimum recovery,11,4,7,4,0,Success,True,True,True,,0.031200004741549492,0.14699999883305281,0,21.0
Larger minimum recovery,12,4,7,4,0,Success,True,True,True,,0.03399999695830047,0.155999994603917,0,21.0
Larger minimum recovery,13,4,7,4,0,Success,True,True,True,,0.027999994927085936,0.15970000822562724,0,21.0
Larger minimum recovery,14,4,7,4,0,Success,True,True,True,,0.028799986466765404,0.1539999939268455,0,21.0
Larger minimum recovery,15,4,7,4,0,Success,True,True,True,,0.029699993319809437,0.20519999088719487,0,21.0
Larger minimum recovery,16,4,7,4,0,Success,True,True,True,,0.029999995604157448,0.14060000830795616,0,21.0
Larger minimum recovery,17,4,7,4,0,Success,True,True,True,,0.028099995688535273,0.14630000805482268,0,21.0
Larger minimum recovery,18,4,7,4,0,Success,True,True,True,,0.021100000594742596,0.09329999738838524,0,21.0
Larger minimum recovery,19,4,7,4,0,Success,True,True,True,,0.01780000457074493,0.11039999662898481,0,21.0
Larger minimum recovery,20,4,7,4,0,Success,True,True,True,,0.019099999917671084,0.10199999087490141,0,21.0
Larger minimum recovery,21,4,7,4,0,Success,True,True,True,,0.018499995348975062,0.0838999985717237,0,21.0
Larger minimum recovery,22,4,7,4,0,Success,True,True,True,,0.017300000763498247,0.10259999544359744,0,21.0
Larger minimum recovery,23,4,7,4,0,Success,True,True,True,,0.024499997380189598,0.09460000728722662,0,21.0
Larger minimum recovery,24,4,7,4,0,Success,True,True,True,,0.023100001271814108,0.09459999273531139,0,21.0
Larger minimum recovery,25,4,7,4,0,Success,True,True,True,,0.017400001524947584,0.10459999612066895,0,21.0
Larger insufficient shares,1,4,7,3,0,Failure,False,False,False,DecodingFailure,0.016999998479150236,0.0032999960239976645,0,21.0
Larger insufficient shares,2,4,7,3,0,Failure,False,False,False,DecodingFailure,0.016300007700920105,0.0016999983927235007,0,21.0
Larger insufficient shares,3,4,7,3,0,Failure,False,False,False,DecodingFailure,0.07219999679364264,0.0023000029614195228,0,21.0
Larger insufficient shares,4,4,7,3,0,Failure,False,False,False,DecodingFailure,0.016600009985268116,0.0014999968698248267,0,21.0
Larger insufficient shares,5,4,7,3,0,Failure,False,False,False,DecodingFailure,0.01479999627918005,0.0011999945854768157,0,21.0
Larger insufficient shares,6,4,7,3,0,Failure,False,False,False,DecodingFailure,0.015700003132224083,0.0031999952625483274,0,21.0
Larger insufficient shares,7,4,7,3,0,Failure,False,False,False,DecodingFailure,0.01510001311544329,0.0013999961083754897,0,21.0
Larger insufficient shares,8,4,7,3,0,Failure,False,False,False,DecodingFailure,0.015600002370774746,0.0018999999156221747,0,21.0
Larger insufficient shares,9,4,7,3,0,Failure,False,False,False,DecodingFailure,0.016299993149004877,0.0014999968698248267,0,21.0
Larger insufficient shares,10,4,7,3,0,Failure,False,False,False,DecodingFailure,0.016299993149004877,0.0028999929782003164,0,21.0
Larger insufficient shares,11,4,7,3,0,Failure,False,False,False,DecodingFailure,0.015300000086426735,0.001300009898841381,0,21.0
Larger insufficient shares,12,4,7,3,0,Failure,False,False,False,DecodingFailure,0.014899997040629387,0.0011999945854768157,0,21.0
Larger insufficient shares,13,4,7,3,0,Failure,False,False,False,DecodingFailure,0.014999997802078724,0.0011999945854768157,0,21.0
Larger insufficient shares,14,4,7,3,0,Failure,False,False,False,DecodingFailure,0.015500001609325409,0.0012999953469261527,0,21.0
Larger insufficient shares,15,4,7,3,0,Failure,False,False,False,DecodingFailure,0.019500002963468432,0.00689999433234334,0,21.0
